,date,username,tweet
116,2021-09-24 01:48:51,YahooFinance,"“We hit peak growth back in June,” Belpointe Chief Strategist @davidnelsoncfa says on earnings. “The question isn’t whether we’re slowing down but what are we slowing down to? … If we’re going back to 2% or below, … stocks are too rich.”  https://t.co/BlCDwP3X3J"
117,2021-09-24 01:43:08,YahooFinance,"“A lot of the [COVID-19] morbidity, a lot of the bad outcomes are not in individuals who lack a booster,” Univ. of Alabama at Birmingham Assistant Professor @DrEllenEaton says. “It’s in individuals who have not rolled up their sleeve for their first or second vaccine.”  https://t.co/IuBoBZg5HF"
118,2021-09-24 01:39:38,YahooFinance,"“The [municipal bond] market is a little bit overvalued,” @blackrock Municipal Bonds Group Head Peter Hayes says. “It might be a time to just wait on the sidelines, see if some of this infrastructure issuance comes to fruition, and find a better entry point.”  https://t.co/mXB0jy1UlG"
119,2021-09-24 01:32:37,YahooFinance,Stocks extend post-Fed rally: S&amp;P 500 jumps 1.2% in best day since July  https://t.co/DGTcxGJ7mp by @emily_mcck  https://t.co/XlbQzZTBIe
120,2021-09-24 01:30:27,YahooFinance,"“I’m worried about competitiveness,” Former Director of the National Economic Council @Gary_D_Cohn says on tax increases. “I don’t think we want to incentivize companies in the United States to move jobs offshore.”  https://t.co/t5xNNwI01d"
121,2021-09-24 01:25:30,YahooFinance,The Evergrande 'Lehman moment' analogy is wrong  https://t.co/Rz1IiifAUe by @rickjnewman  https://t.co/9aH6zUILqV
122,2021-09-24 01:24:51,YahooFinance,Bond yields rip as Fed prepares to turn spigot on monetary stimulus  https://t.co/hLlyXvDqYV by @bcheungz  https://t.co/jgY7QKy7xd
123,2021-09-24 01:13:19,YahooFinance,"“We need to force people, in many respects, to reenter the workforce,” Former Director of the National Economic Council @Gary_D_Cohn says. “We have to stop many of these programs at a high level that are encouraging people to stay home.” Full comments:  https://t.co/Mkg7iicbJP"
124,2021-09-24 01:00:45,YahooFinance,".@Visa SVP and Global Head of Crypto &amp; Fintech @terryangelos on the outlook for fintech: “Ultimately, the big areas for growth we think are going to be in some of the B2B payment arenas.” Full comments:  https://t.co/h0t7LUH4Oi"
125,2021-09-24 00:53:05,YahooFinance,"“There clearly innovation happening, not just in crypto but in all of fintech,” @Visa Global Head of Crypto &amp; Fintech @terryangelos says. “And so we just hope that regulators can provide the clarity so that companies like Visa can successfully work with these entities.”  https://t.co/bd93WK6AkP"
126,2021-09-24 00:45:58,YahooFinance,"Stablecoins “were created to… provide a way for dollar transactions to happen directly over the internet, fast, cheap, global,” @circlepay CEO @jerallaire says. “It’ll just become… as pervasive as things like email and text messaging and browsing the web.” Full comments:  https://t.co/KogJjo3TfB"
127,2021-09-24 00:38:43,YahooFinance,"“There’s been an incredible amount of growth in digital wallets,” @circlepay Co-Founder, Chairman, &amp; CEO @jerallaire says. “That’s definitely driving a kind of convergence between mainstream payment application experiences... and this new digital currency world.”  https://t.co/qmg3G3SGWX"
128,2021-09-24 00:28:44,YahooFinance,"“‘Soft skills’ is a term that makes me crazy,” @BankofAmerica’s @CathyBessant says. “Those skills are absolutely fundamental to the ability of the technical knowledge and the technical acumen to come to the marketplace.” Full comments:  https://t.co/2jvIZOzLmO"
129,2021-09-24 00:27:58,YahooFinance,"“We do all the things that other firms do: We recruit creatively, we participate in all the right conferences and all the right hiring forms,” @BankofAmerica’s @CathyBessant says. “But I am convinced that the secret sauce is capitalizing on the talent that we have today.”  https://t.co/YLO5dNw1X5"
130,2021-09-24 00:26:25,YahooFinance,"“Oftentimes, fintech companies are focused on the creation of software versus the creation of customer and client relationships that stand the test of time and fiduciary responsibilities,” @BankofAmerica’s @CathyBessant says. “We’ll compete like crazy.” Full comments:  https://t.co/oOEA3syWyg"
131,2021-09-24 00:25:21,YahooFinance,"“Technology is the playing field today and will become increasingly more so in the future,” @BankofAmerica’s @CathyBessant says. “People don’t think of banks… as homes to innovation, and yet we have thousands of developers… who have been a part of our patent process.”  https://t.co/qqvlSSQP72"
132,2021-09-24 00:00:21,YahooFinance,Ocean Cleanup pilots ‘the first scalable technology’ to remove plastic waste from Earth's waters  https://t.co/iMpDTFLgj6  https://t.co/vg2D1YtYWK
